iteracyjne wynik	czas
16	44
11	50
12	48
11	56
11	46
11	50
10	55
11	48
11	56
10	55
11	46
11	50
11	47
11	49
29	53
10	47
10	47
10	49
10	44
10	43
31	207
33	197
31	195
31	226
31	200
31	195
31	196
30	194
30	196
30	193
31	202
31	198
31	210
31	211
30	198
31	194
31	203
31	202
30	189
30	195
125	995
127	1010
126	997
126	1061
124	1017
124	1003
124	995
124	996
111	1003
41	1022
40	1016
40	1006
41	1021
41	1013
41	1027
41	1028
44	1004
43	995
59	1023
43	1034
4	50
3	48
3	44
3	54
3	53
3	49
3	47
3	44
3	50
3	43
3	46
3	46
3	40
3	46
3	46
3	43
3	45
3	46
3	43
3	49
9	186
10	209
10	204
9	184
9	181
10	186
9	188
9	180
9	199
9	186
9	191
9	187
9	182
9	198
9	206
10	182
9	200
9	188
9	193
9	192
40	959
39	982
39	947
39	955
39	930
40	958
39	946
39	946
39	933
39	947
39	929
39	936
40	998
39	943
39	948
39	926
38	963
39	966
38	953
38	952
3	47
3	44
3	45
3	48
3	48
3	45
3	56
3	49
3	48
3	50
10	209
10	220
10	195
10	184
10	208
10	206
10	188
10	195
10	190
10	194
42	999
42	994
42	1000
42	1000
42	1042
43	1022
42	1030
42	1035
42	1015
42	986
